,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
glycine max,glycine max,1210,30.1229922,0.5654008438818565,0.5153822317469817,0.12398042414355627,0.06622295179034478,0.52,2345,3675
glycine max,glycine max,1260,14.977753,0.5693672185049058,0.5042498335509088,0.1237785016286645,0.06613795054655269,0.54,2345,3675
glycine max,glycine max,1310,14.977753,0.5655393070768274,0.4885642915931022,0.12347684809098293,0.06605622050093855,0.56,2345,3675
glycine max,glycine max,1360,14.977753,0.5618956036514342,0.4739556309401072,0.12317666126418152,0.06597036659115439,0.58,2345,3675
glycine max,glycine max,1410,14.977753,0.5719080937972768,0.46920340506476405,0.12307692307692307,0.06573501810289731,0.6,2345,3675
glycine max,glycine max,1460,14.977753,0.5616776315789475,0.4516528344133101,0.12267958030669895,0.06569526740135205,0.62,2345,3675
glycine max,glycine max,1510,7.3599853,0.570643719504329,0.44736119370812816,0.12258064516129032,0.06540607839131038,0.64,2345,3675
glycine max,glycine max,1560,7.3599853,0.5728435423028562,0.43921964768738964,0.12238325281803542,0.06518733373572083,0.67,2345,3675
glycine max,glycine max,1610,7.3599853,0.5747269369927979,0.4314042205476684,0.12218649517684886,0.06495837952728396,0.69,2345,3675
glycine max,glycine max,1660,7.3599853,0.5761684752716143,0.4238959987794033,0.1219903691813804,0.06472153706899139,0.71,2345,3675
glycine max,glycine max,1710,7.3599853,0.5831832298136645,0.42014744795729514,0.1218925421010425,0.06439254194772022,0.73,2345,3675
glycine max,glycine max,1760,7.3599853,0.5782792624406021,0.40973239747805207,0.12159999999999999,0.06423164135151294,0.75,2345,3675
glycine max,glycine max,1810,7.3599853,0.5625598424511469,0.3938215349550228,0.12111553784860557,0.06430683044477377,0.77,2345,3675
glycine max,glycine max,1860,7.3599853,0.539227606826959,0.3740485576740836,0.12044374009508715,0.06475683256889428,0.79,2345,3675
glycine max,glycine max,1910,7.3599853,0.5329026082794927,0.3637141796927008,0.12006319115323853,0.06483027743248096,0.81,2345,3675
glycine max,glycine max,1960,7.3599853,0.5185700272479563,0.34962990409764605,0.11949685534591194,0.06528596338273757,0.84,2345,3675
glycine max,glycine max,2010,7.3599853,0.5142613404547309,0.34088762711048887,0.11912225705329153,0.06540494542756302,0.86,2345,3675
glycine max,glycine max,2060,7.3599853,0.5105407525039896,0.33267914126824244,0.11875,0.06553265045278825,0.88,2345,3675
glycine max,glycine max,2110,7.3599853,0.5108990404672507,0.32675967828220137,0.11847233047544817,0.06546355883118565,0.9,2345,3675
glycine max,glycine max,2160,7.3599853,0.48899460939505435,0.31117109183710967,0.11764705882352941,0.06667372322266649,0.92,2345,3675
glycine max,glycine max,2210,7.3599853,0.4639852195840511,0.2948191951987018,0.11665387567152724,0.068479514399818,0.94,2345,3675
glycine max,glycine max,2260,1.6887207,0.4491241773342012,0.28312319988740203,0.11585365853658537,0.06990020020279797,0.96,2345,3675
glycine max,glycine max,2310,1.6887207,0.4338735362997658,0.2717013326690746,0.11497730711043873,0.0716328309876697,0.99,2345,3675
lactuca sativa,lactuca sativa,10,1245.7480536644612,0.48000000000000004,0.75,0.6666666666666666,0.5,0.0,2170,3421
lactuca sativa,lactuca sativa,60,443.5345274,0.6177777777777778,0.625,0.4,0.25,0.03,2170,3421
lactuca sativa,lactuca sativa,110,314.82494570392,0.5852713178294573,0.6090909090909091,0.3582089552238806,0.21818181818181817,0.05,2170,3421
